,World,Spain,France,Italy,Greece,Malta,Cyprus,Slovenia,Croatia,Bosnia Herzegovina,Montenegro,Albania,Romania,Ukraine,Russia,Turkey,Israel,Lebanon,Egypt,Libya,Tunisia,Algeria,Morocco
World,239166381622.48495,19482817951.466003,31762726453.813,55356375470.659004,15540722803.298,10145666978.072,12927842754.795,5797713500.129,11967024880.909002,1893105233.774,1034392431.0120001,1314327271.6239998,10327684975.093,6960666293.325001,920487766.123,5181814294.012001,501597203.5650001,8338895980.603998,8172779237.051001,11164332388.060999,2083487912.648,742999057.399,17548920785.053
Spain,64021808137.173,0.0,29125167481.496998,9810216816.312,562137087.336,4149042212.146,1871497549.0879998,803431268.868,546843479.3,243200.88799999998,60156.408,19086946.72,122228716.868,23318562.224000003,0.0,2377753369.468,19418808.648,41988777.52599999,1405360057.23,77852878.24599999,302207096.76799995,14587213.867999997,12749366457.764
France,42251003146.95501,10150719985.523003,0.0,27876821652.573997,732881714.4579997,315813502.673,182746107.849,35901269.66,26132612.827999998,6577669.35,1714339.116,14505668.94,133020315.604,40998653.848000005,0.0,347926839.04,30738899.352,30949612.851999998,37559779.592,182110689.90399998,321602627.552,101603110.06400001,1680678096.176
Italy,11334024664.994999,2536401814.377,993853810.161,0.0,252880260.517,516766892.911,105184752.466,1215336021.109,1338815900.882,9404244.973,65462599.805,81192712.602,54823873.485,20031588.114,344586.643,643625707.176,54289488.181,335417460.666,623801686.861,1353654577.157,315221129.917,294181027.315,523334529.677
Greece,18232852157.068,317594496.93999994,123241267.918,2563346035.039,0.0,560472199.29,1735064296.135,814610561.488,349936165.794,32525138.836999997,411832568.64800006,516121307.08599997,224889489.434,2279843123.915,0.0,961833851.84,294589630.26800007,2520315040.864,1325456530.2159998,2168167773.112,612360654.804,80070068.67,340581956.77000004
Malta,1032657122.5930002,120539118.088,0.0,196229433.807,554845082.9580001,0.0,81087887.3,79951180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138.544,4281.896,0.0,0.0,0.0
Cyprus,9159708555.161999,260178.288,2199.4,106982.488,140008.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,946087.112,0.0,0.0,0.0,0.0,2495312967.93,944231271.6000001,5718708860.264,0.0,0.0,0.0
Slovenia,15743634355.2,19589619.108,19813700.332000002,6163715978.896001,4761830.024,435060.4,3593184.208,0.0,8954745804.0,393565133.28400004,8348874.752,21355111.512,54012580.239999995,88427173.32000001,347.48,4554677.427999999,766864.336,97390.008,3348318.968,0.0,2502706.9039999996,0.0,0.0
Croatia,1862850342.0,11646967.0,194235.0,58411746.0,17327983.0,91352985.0,0.0,318439475.0,0.0,1239192390.0,102432917.0,15948821.0,4018869.0,903111.0,0.0,1093561.0,11935.0,0.0,0.0,0.0,1211408.0,0.0,663939.0
Bosnia Herzegovina,981187967.8200002,0.0,87.328,1463793.58,975008.46,0.0,370103.02,2862000.72,509461943.73600006,0.0,324226527.876,631785.656,20816303.724,0.0,0.0,70609429.668,0.0,0.0,0.0,769704.14,0.0,49001279.912,0.0
Montenegro,280744809.102,0.0,0.0,35602882.56,0.0,0.0,0.0,105991464.43,26521.183999999997,92340543.312,0.0,46783397.616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Albania,2394349726.0079994,850758031.2719998,19356665.087000005,951496902.9739999,226840383.76700002,4137431.092,1528839.084,77108544.08400002,81619829.98499998,44377959.61,97607660.067,0.0,5480580.696,2695204.4639999997,0.0,9667821.062000003,2977382.12,3282482.768,0.0,12065668.592,1971769.3400000003,0.0,1376569.944
Romania,3780356087.6,62423768.96,16296776.799999999,117863359.35999997,88128725.32000001,93564418.8,25692462.36,103021560.36000001,19540391.199999996,11708481.76,409571.4,69649060.51999998,0.0,2205007796.44,0.0,310847817.88,6501509.72,282588047.52,80368935.36,104287658.72,95399868.64,91674.0,86964202.48
Ukraine,55684321.76,8271950.94,50198.9,11869029.76,540.0,0.0,72054.24,1243.42,0.0,18087.76,2495807.94,86908.68,17797948.28,0.0,0.0,6925898.62,1496839.84,1407140.82,1005672.68,3941276.02,0.0,243723.86,0.0
Russia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Turkey,63985821880.0,5376983616.0,1306681024.0,6079404120.0,12388687888.0,4307065472.0,8874990616.0,1748435992.0,139900232.0,63152384.0,19801408.0,525000672.0,9569287744.0,2299441080.0,917642832.0,0.0,86808176.0,2412745928.0,3655953464.0,1464680056.0,430264848.0,198991984.0,2119902344.0
Israel,417924000.0,21899000.0,5000.0,85185000.0,2323000.0,99637000.0,30788000.0,0.0,2000.0,0.0,0.0,0.0,102872000.0,0.0,2500000.0,33522000.0,0.0,0.0,37588000.0,0.0,0.0,0.0,1603000.0
Lebanon,152432663.0,0.0,0.0,9682990.0,63524018.0,0.0,15210139.0,0.0,0.0,0.0,0.0,0.0,1440334.0,0.0,0.0,1975451.0,0.0,0.0,58105382.0,2484084.0,0.0,0.0,10265.0
Egypt,3479341686.0490007,5729404.97,158064007.39,1394958747.309,645269273.378,7379803.76,16764.045,492622918.99,0.0,0.0,0.0,3964879.292,16050132.65,0.0,0.0,411477869.83,3997670.1,214791131.65,0.0,75604880.01,745802.723,4228975.71,44439424.242
Libya,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tunisia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Algeria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Morocco,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
