,World,Afghanistan,Albania,Algeria,Andorra,Angola,Anguilla,Antigua and Barbuda,Argentina,Armenia,Aruba,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,Bolivia (Plurinational State of),Bonaire,Bosnia Herzegovina,Botswana,Br. Virgin Isds,Brazil,Brunei Darussalam,Bulgaria,Burkina Faso,Burundi,Cabo Verde,Cambodia,Cameroon,Canada,Cayman Isds,Central African Rep.,Chad,Chile,China,"China, Hong Kong SAR","China, Macao SAR",Colombia,Comoros,Congo,Cook Isds,Costa Rica,Croatia,Cuba,Curaçao,Cyprus,Czechia,Côte d'Ivoire,Dem. People's Rep. of Korea,Dem. Rep. of the Congo,Denmark,Djibouti,Dominica,Dominican Rep.,Ecuador,Egypt,El Salvador,Equatorial Guinea,Eritrea,Estonia,Eswatini,Ethiopia,FS Micronesia,Faroe Isds,Fiji,Finland,France,French Polynesia,Gabon,Gambia,Georgia,Germany,Ghana,Gibraltar,Greece,Greenland,Grenada,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Holy See (Vatican City State),Honduras,Hungary,Iceland,India,Indonesia,Iran,Iraq,Ireland,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kiribati,Kuwait,Kyrgyzstan,Lao People's Dem. Rep.,Latvia,Lebanon,Lesotho,Liberia,Libya,Lithuania,Luxembourg,Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Marshall Isds,Martinique (Overseas France),Mauritania,Mauritius,Mexico,Mongolia,Montenegro,Montserrat,Morocco,Mozambique,Myanmar,N. Mariana Isds,Namibia,Nauru,Nepal,Netherlands,New Caledonia,New Zealand,Nicaragua,Niger,Nigeria,Niue,North Macedonia,Norway,Oman,Pakistan,Palau,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Portugal,Qatar,Rep. of Korea,Rep. of Moldova,Romania,Russian Federation,Rwanda,Saint Barthélemy,Saint Helena,Saint Kitts and Nevis,Saint Lucia,Saint Maarten,Saint Pierre and Miquelon,Saint Vincent and the Grenadines,Samoa,San Marino,Sao Tome and Principe,Saudi Arabia,Senegal,Serbia,Seychelles,Sierra Leone,Singapore,Slovakia,Slovenia,Solomon Isds,Somalia,South Africa,South Sudan,Spain,Sri Lanka,State of Palestine,Sudan,Suriname,Sweden,Switzerland,Syria,Tajikistan,Thailand,Timor-Leste,Togo,Tokelau,Tonga,Trinidad and Tobago,Tunisia,Turkmenistan,Turks and Caicos Isds,Tuvalu,Türkiye,USA,Uganda,Ukraine,United Arab Emirates,United Kingdom,United Rep. of Tanzania,Uruguay,Uzbekistan,Vanuatu,Venezuela,Viet Nam,Wallis and Futuna Isds,Yemen,Zambia,Zimbabwe
World,20597390135683.45,8819451234.179,8860219127.192,44182303589.716,1881769589.6020002,12348905412.126,224954105.82599998,1235642976.941,54732051162.666,5747099383.198,1358946541.3709998,259143293616.206,187658092855.697,15055685167.310999,9936133038.79,19287178018.845,63152842145.048996,2085497463.0679998,17062021878.179,459714905564.387,1498732936.646,4303226597.997,3143081853.0659995,1446006004.789,6119581164.781,732145389.6949999,13668231361.031,6607446439.48,1103964043.0900002,242134866272.794,6089316503.987,50825408403.108,3360913377.848,467452626.96199995,1019001525.941,33263760373.733994,8524845034.841,538494580839.857,7033344544.774,283940078.286,1635889447.9220002,79181284407.70999,1734072557247.5781,585262124345.786,14499952120.063,59532541964.468,478243677.158,5240043762.986,313713806.077,22371755154.534,43617383270.312,4012786952.0789995,1709977875.342,16077247008.651,197363551973.383,16091095746.519001,1942642233.8769999,11915826488.632,116305254817.40302,7727457222.433001,281497502.477,28073371744.303,24894171577.985996,75827228787.771,13590485100.695,1043759686.055,473875645.02900004,23277836662.784,2142348502.195,8627693102.710001,137204844.883,1667538008.27,2668189788.839,71639705013.379,680629223963.071,1830640945.921,2983489010.3080006,1597241489.52,14192481504.334,1312186120256.042,21066398995.727,10584658777.15,78509605443.745,1052599375.2119999,505998873.905,27261428796.176,8361910468.306,526816154.765,4774773786.62,3496159094.2019997,36875465.86,16614118927.918,136947354326.0,8143433654.615,469348083666.85706,218407649766.75098,28870310096.756,84326949719.271,107857745186.216,75207530993.192,548835684439.17004,6607167678.0529995,536741465657.834,26269527967.478,59156762112.414,24488700538.814,180682632.72999996,35627182672.002,31645078797.524,9224399483.707,23640736510.577,15777692960.459,1642567418.7229998,29399744249.135998,24103221604.612,40101551961.149994,27364191655.491,3832019134.8689995,1546436862.217,293279868871.4,3798631291.2730002,6195786673.814,21033032963.085,17444748951.931,0.0,3731175559.269,5088837830.735,563508270214.25,8446008020.199001,4688623574.409,26044999.262000002,63501803377.731995,15560891496.814,19186101561.621,133717685.74800001,6367890038.209,64532538.07400001,10543232021.244999,724915083563.206,1731557661.0640001,42338007049.263,9596547505.876999,1070843424.527,48130605829.54201,37483152.44800001,10955382697.036,88739059264.81,35605374193.047,48444885157.76601,194733582.419,59547096093.013,5506699723.358,13647202887.126001,47753752424.8,140714660579.711,372950230299.024,104220011086.67401,39939729042.453995,451766263803.074,7917435808.436,127851888389.079,208678566402.18,1981681316.0779998,237215121.94700003,53868291.41500001,369402725.897,1611998447.4819999,0.0,72908673.01500002,488598339.814,565019839.439,485357150.009,158156915.57999998,197421923624.74298,14452818598.044,38978609917.348,1055816180.409,2153075202.4370003,348362688035.286,94931160236.391,79685776693.27701,551587123.006,4926147344.016,91229139167.19499,1237377295.9889998,412032438774.274,17169511463.884998,2158447113.3640003,5168698594.702999,1693568962.228,164684037257.316,340796556869.731,4378321986.983001,6836155540.188,248628244159.30002,996608589.299,11308453635.675,41086607.40799999,305829712.99799997,8122654920.213999,20477748012.551,5692465841.569,894254652.523,111477036.026,267157289770.004,2975931486497.57,4300610658.543,59592787948.123,315965767615.901,698956522300.983,20213330068.690002,14393919058.571999,27538350579.794,546326271.595,14279853451.098999,368598851604.141,57173058.143999994,10712234231.405998,7235597758.099001,6743364743.984
Afghanistan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Albania,4001065835.187,44186.544,0.0,8350.73,2710.292,0.0,248799.764,0.0,351972.873,234002.33,0.0,696921.82,24941807.983,248143.569,221520.927,28590.389,170962.386,0.0,1230999.261,7275927.775,71231.214,0.0,16611.961,0.0,21154.992,0.0,33292600.566,0.0,0.0,3450454.071,4227.795,42416470.395,0.0,0.0,230072.333,50322.43,1531.907,6551705.792,20769.025,0.0,0.0,2496.201,111996716.409,4459200.256,5263.336,21938.633,0.0,0.0,3232.245,292279.248,42720221.67,124311.794,31244.146,1599574.088,56383835.509,682438.931,0.0,0.0,4619781.104,0.0,0.0,656360.807,474777.799,1813787.785,35814.906,0.0,0.0,623955.496,574020.624,0.0,0.0,0.0,0.0,2216182.73,49062709.293,0.0,0.0,22928.826,124896.798,236505663.496,108801.999,0.0,251788508.341,0.0,0.0,0.0,50954.997,0.0,0.0,0.0,0.0,0.0,16940176.866,0.0,2722647.561,0.011,0.0,1805101.49,2615411.059,4144333.411,1748224101.437,0.0,8461556.856,150532.634,102449.723,5148.803,0.0,164381.148,49758.336,0.0,3857188.65,853528.935,0.0,86053.436,2793928.077,3078403.927,6937815.872,0.0,0.0,18528761.325,0.0,0.0,5544538.283,0.0,0.0,75577.832,31385.615,832691.799,23012.7,82244053.684,0.0,415334.872,284849.399,0.0,0.0,0.0,0.0,0.0,25261894.931,0.0,397.716,0.0,5214.243,71844.867,0.0,127018213.119,2310625.973,64560.354,39885.648,0.0,62878.622,0.0,311544.332,0.0,927.984,25351035.393,2180434.918,148611.642,767399.976,4312813.432,38797292.641,79945.075,43658.955,0.0,0.0,4920.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3399376.059,155872.319,485239502.323,0.0,10824.848,483682.252,71707168.987,25270042.786,0.0,0.0,22123.87,0.0,139606038.754,426691.857,35754.672,10241.25,0.0,33528342.297,22869490.047,10953.209,25937.853,309277.189,0.0,24843.824,0.0,0.0,5572.939,694777.332,0.0,43610.666,0.0,52052989.952,77756662.529,83573.787,34374022.708,9202552.372,15925147.762,39853.454,44128.416,592550.518,24357.328,197727.745,167654.534,0.0,26667.786,0.0,57050.11
Algeria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andorra,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Angola,39006580963.74,0.0,0.0,130563.98,224027.94,0.0,0.0,734.41,43494.31,0.0,0.0,274686.11,29150.0,16725930.96,38912665.0,831.0,37836888.91,0.0,0.0,313558071.3,4455933.85,648361.2,0.0,0.0,0.0,0.0,48.67,19252388.89,0.0,1119212567.64,1596.65,28195.16,600654.85,0.0,517898.6,0.0,7232865.34,729539073.88,0.0,0.0,26064.32,21197.0,16235639041.05,20245390.4,0.0,16332.76,0.0,216146225.98,0.0,1700.0,78379360.31,721745.81,0.0,2289934.53,14339471.86,33031540.59,0.0,173043539.39,261385.03,0.0,0.0,5495629.83,23081.0,16895250.7,0.0,92461941.3,7748.98,0.34,33605.91,65980.06,0.0,4149714.0,0.0,124804.15,1545182285.62,0.0,2539905.71,32685.31,55937.15,52758376.93,11573321.17,130201311.15,102917.54,0.0,0.0,0.0,107365.53,634077.65,51649.32,0.0,0.0,0.0,13890431.84,3513053.89,4358099904.71,1569389615.57,0.0,42083.6,3755945.04,90663650.24,533755367.39,3280.0,984175.75,0.0,17279.88,204955.11,0.0,153932274.23,0.0,212573.15,530427.17,400531.98,0.0,43848277.53,179503.99,16335.06,8464943.0,264394.81,46874.21,560168923.71,0.0,1424678.01,22725697.0,17898762.0,0.0,20637324.11,46895723.26,149921.0,0.0,0.0,0.0,3234936.7,2416731.84,0.0,0.0,196951623.96,0.0,0.0,874498453.66,0.0,768610.0,0.0,106.97,28797862.22,0.0,0.0,179260651.14,7570.0,29346.0,0.0,20717200.0,0.0,0.0,0.0,2702.08,2274689.96,181163281.1,57560993.35,111617.32,0.0,489221.39,56192.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5695678.92,0.0,0.0,20295387.62,181917.66,19797896.41,0.0,33629.46,714130.08,1355479842.76,699.0,125160.0,0.0,434.38,753136431.52,0.0,2546407522.31,0.0,0.0,43358.82,0.0,189866.77,8748865.37,31606.0,0.0,441465990.34,0.0,246052729.12,59.12,0.0,2404423.88,1363.53,42974.0,816.85,0.0,5991326.73,1636863556.63,70748.06,48904.83,1241316108.31,550337313.06,105270.64,0.0,158.81,496000.0,4995.0,240101000.72,0.0,0.0,3547997.03,500955.82
Anguilla,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antigua and Barbuda,29066213.189000003,0.0,0.0,0.0,0.0,0.0,280369.503,0.0,0.0,0.0,181.085,0.0,0.0,0.0,137913.915,0.0,0.0,810665.055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,395502.018,18917.674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,196324.207,124806.033,0.0,0.0,0.0,3283234.504,41512.874,0.0,0.0,0.0,0.0,0.0,41822.185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150938.889,0.0,304741.592,49512.241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,346567.766,1873302.18,0.0,0.0,0.0,1594.096,3024.844,0.0,0.0,8402.267,0.0,318826.726,0.0,0.0,0.0,39759.652,0.0,0.0,0.0,0.0,0.0,104951.907,0.0,0.0,0.0,0.0,0.0,867054.829,294021.418,22483.863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37037.037,0.0,0.0,72832.081,32146.663,0.0,0.0,0.0,16807.181,1492.141,0.0,1103371.329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2555614.594,0.0,53705.13,0.0,0.0,12371.048,0.0,0.0,0.0,0.0,0.0,0.0,174570.866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3182476.045,1409533.728,0.0,0.0,211600.844,0.0,3352.322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,301.878,0.0,0.0,0.0,0.0,0.0,917302.758,0.0,0.0,0.0,10576.589,0.0,0.0,0.0,0.0,63994.63,0.0,0.0,0.0,0.0,503526.059,0.0,0.0,196618.359,0.0,0.0,6403712.26,0.0,0.0,0.0,2386838.324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Argentina,77768925003.53,0.0,4632435.3,1012057243.66,0.0,145623126.58,0.0,145837.09,0.0,6969671.31,4507613.35,536049941.63,8125836.23,3809549.06,3548698.47,9906392.11,687688991.42,1702549.98,16829211.42,485354539.28,2417626.83,2137637.68,0.0,0.0,395260695.77,0.0,7533756.17,0.0,0.0,13620061004.13,0.0,32094773.42,438437.12,0.0,5599739.0,8455521.6,117069369.9,1115585421.86,0.0,0.0,0.0,6343951509.76,5979408050.28,92238590.07,0.0,837035788.77,2012843.24,36825615.95,0.0,173488472.0,27773461.36,77112746.26,0.0,56330199.64,9538370.79,93929466.23,0.0,40534407.79,104780297.26,593880.0,0.0,393301063.9,688794405.67,444547433.84,111024786.11,3275597.49,0.0,4051007.84,0.0,0.0,0.0,0.0,38965.39,24809003.36,363801820.25,0.0,15711095.64,7411873.77,44200490.15,817019397.63,132612489.82,0.0,278843461.09,0.0,231821.25,433024966.29,7870227.4,128200.0,6039859.31,2900922.89,0.0,114070203.25,9889095.28,2952798.24,3933795962.76,1336893793.18,0.0,512622432.92,503757939.8,438893347.16,1084364494.08,8146341.8,307775067.13,241673233.17,18921596.07,93338035.69,0.0,51678322.46,0.0,0.0,158132916.9,111287830.68,0.0,9217121.87,178758012.97,33567841.0,0.0,16855574.9,0.0,1378526158.67,441987.03,2264711.17,4100859.4,0.0,0.0,18656072.74,46126794.26,796355890.08,2327154.59,253455.66,0.0,391531783.17,257373429.31,1392574.21,0.0,4599720.14,0.0,8151927.43,1697199339.71,0.0,100910471.22,219108770.21,648277.02,174314668.2,0.0,7698066.0,20086675.55,131315372.25,287830229.2,0.0,270919102.31,0.0,1441604956.92,2480480202.37,344847090.33,759753750.35,146364196.93,70157562.24,1233672426.77,4711855.62,163009452.31,368973604.51,0.0,0.0,0.0,73301.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1493076670.38,176662044.78,10751722.07,0.0,242435.71,121642167.25,8827730.9,14278728.49,0.0,0.0,363852048.53,0.0,1453381619.01,3971785.82,531420.86,0.0,1922923.69,21368240.86,1696472417.12,95545340.77,0.0,282591212.58,0.0,7812913.95,0.0,0.0,12289107.36,73271347.71,0.0,0.0,0.0,649059339.12,6476353027.96,28589724.13,23946456.99,605114926.18,665466553.13,31579782.65,1773038773.75,529012.35,0.0,317789757.28,3282213892.92,0.0,185579819.55,0.0,0.0
Armenia,13072652394.954,0.0,188316.81,26112.5,0.0,0.0,0.0,0.0,14256.8,0.0,0.0,371634.61,3260180.73,0.0,0.0,37320.32,1374.24,0.0,113881466.35,120246438.97,0.0,29.4,210.0,0.0,0.0,0.0,2991.29,0.0,0.0,79844.71,0.0,79596400.81,0.0,377000.0,0.0,0.0,0.0,2265475.71,0.0,0.0,0.0,93440.3,1097484670.56,1756489671.73,0.0,0.0,0.0,0.0,0.0,0.0,429369.83,165604.26,26761256.89,3951718.83,3351969.11,433000.0,0.0,0.0,127519.32,0.0,0.0,2637.52,0.0,255333.45,0.0,0.0,0.0,865024.6,0.0,3307.39,0.0,0.0,0.0,47307.35,9205038.65,0.0,0.0,0.0,155369128.828,63403536.33,3.0,0.0,1175577.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1064457.23,1881.85,36371044.17,1101668.8,108228162.536,246143189.83,46364.71,9297153.93,67088737.86,0.0,15847418.53,150186.48,78808471.96,0.0,0.0,1556196.76,14147420.77,200798.89,7545550.84,849224.07,0.0,0.0,2837436.21,23151294.35,21863.81,36659.11,0.0,12179860.83,0.0,0.0,42318.2,0.0,0.0,0.0,0.0,1469547.25,340356.98,3527.03,0.0,41316.5,0.0,0.0,0.0,0.0,0.0,0.0,134034914.78,0.0,10820.0,0.0,0.0,65505.68,0.0,769.79,30239.36,5546917.41,368125.0,0.0,16802.91,0.0,0.0,5284940.89,287839.06,18935343.56,492637.46,10929908.71,14313235.95,3219407.85,5488886.77,3136776864.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,952739.12,37000.0,14364641.24,3760.0,0.0,602689.12,50804236.13,10544921.83,0.0,0.0,74163.44,0.0,5912699.2,0.0,16515.31,0.0,0.0,224072.13,111620064.6,20871769.0,4401825.1,82232228.27,0.0,0.0,0.0,0.0,0.0,0.0,20594974.53,0.0,0.0,413356.33,58291314.7,2671.85,10202338.26,5254746204.1,2416746.33,12364.0,34575.85,12442503.44,0.0,0.0,6329931.83,0.0,162652.0,0.0,0.0
